gt,time_elapsed,current_time,current_task,trakstar0,trakstar1,trakstar2,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp
0,0.124831438,20250620173703212,None,"translation: 
  x: -0.10313789062499999
  y: -0.02824013671875
  z: 0.10525869140625
rotation: 
  x: 0.1140282523926753
  y: 0.3949479619810542
  z: 0.08924480995615165
  w: 0.9072204962847644","translation: 
  x: -0.12233671875
  y: -0.03069580078125
  z: 0.119211328125
rotation: 
  x: 0.3022947354619462
  y: 0.3378229131757694
  z: -0.012453175693505061
  w: 0.8912566917900674","translation: 
  x: -0.15303251953125
  y: -0.0350490234375
  z: 0.13383369140625
rotation: 
  x: 0.008301414498115722
  y: 0.18934549833202183
  z: 0.10010529247727781
  w: 0.9767590794032925",45,8,1,11,19,-6,-47,-47,1750455423212046861
0,0.124997854,20250620173703212,None,"translation: 
  x: -0.10313789062499999
  y: -0.02824013671875
  z: 0.10525869140625
rotation: 
  x: 0.1140282523926753
  y: 0.3949479619810542
  z: 0.08924480995615165
  w: 0.9072204962847644","translation: 
  x: -0.12233671875
  y: -0.03069580078125
  z: 0.119211328125
rotation: 
  x: 0.3022947354619462
  y: 0.3378229131757694
  z: -0.012453175693505061
  w: 0.8912566917900674","translation: 
  x: -0.15303251953125
  y: -0.0350490234375
  z: 0.13383369140625
rotation: 
  x: 0.008301414498115722
  y: 0.18934549833202183
  z: 0.10010529247727781
  w: 0.9767590794032925",14,-4,-9,-4,-4,1,16,21,1750455423212233066
0,0.132260561,20250620173703220,None,"translation: 
  x: -0.10313789062499999
  y: -0.02824013671875
  z: 0.10525869140625
rotation: 
  x: 0.1140282523926753
  y: 0.3949479619810542
  z: 0.08924480995615165
  w: 0.9072204962847644","translation: 
  x: -0.12233671875
  y: -0.03069580078125
  z: 0.119211328125
rotation: 
  x: 0.3022947354619462
  y: 0.3378229131757694
  z: -0.012453175693505061
  w: 0.8912566917900674","translation: 
  x: -0.15303251953125
  y: -0.0350490234375
  z: 0.13383369140625
rotation: 
  x: 0.008301414498115722
  y: 0.18934549833202183
  z: 0.10010529247727781
  w: 0.9767590794032925",-15,3,2,-9,-8,7,45,52,1750455423219392538
0,0.132429599,20250620173703220,None,"translation: 
  x: -0.10313789062499999
  y: -0.02824013671875
  z: 0.10525869140625
rotation: 
  x: 0.1140282523926753
  y: 0.3949479619810542
  z: 0.08924480995615165
  w: 0.9072204962847644","translation: 
  x: -0.12233671875
  y: -0.03069580078125
  z: 0.119211328125
rotation: 
  x: 0.3022947354619462
  y: 0.3378229131757694
  z: -0.012453175693505061
  w: 0.8912566917900674","translation: 
  x: -0.15303251953125
  y: -0.0350490234375
  z: 0.13383369140625
rotation: 
  x: 0.008301414498115722
  y: 0.18934549833202183
  z: 0.10010529247727781
  w: 0.9767590794032925",-30,-6,-2,-6,-3,-6,-11,-12,1750455423219586610
0,0.147833585,20250620173703235,None,"translation: 
  x: -0.10313789062499999
  y: -0.02824013671875
  z: 0.1053703125
rotation: 
  x: 0.11439577873877857
  y: 0.3939756435325916
  z: 0.08924579963505562
  w: 0.907596818723671","translation: 
  x: -0.12233671875
  y: -0.03069580078125
  z: 0.11932294921875
rotation: 
  x: 0.3025139734311622
  y: 0.3371846628800928
  z: -0.012207989242581195
  w: 0.8914273744932794","translation: 
  x: -0.15303251953125
  y: -0.0350490234375
  z: 0.1339453125
rotation: 
  x: 0.008179998456591694
  y: 0.18887250167682618
  z: 0.10023550347554899
  w: 0.976838323152092",5,-5,-4,-2,14,2,1,-6,1750455423234575986
0,0.148031473,20250620173703235,None,"translation: 
  x: -0.10313789062499999
  y: -0.02824013671875
  z: 0.1053703125
rotation: 
  x: 0.11439577873877857
  y: 0.3939756435325916
  z: 0.08924579963505562
  w: 0.907596818723671","translation: 
  x: -0.12233671875
  y: -0.03069580078125
  z: 0.11932294921875
rotation: 
  x: 0.3025139734311622
  y: 0.3371846628800928
  z: -0.012207989242581195
  w: 0.8914273744932794","translation: 
  x: -0.15303251953125
  y: -0.0350490234375
  z: 0.1339453125
rotation: 
  x: 0.008179998456591694
  y: 0.18887250167682618
  z: 0.10023550347554899
  w: 0.976838323152092",76,-1,-3,12,-10,-3,-10,-11,1750455423234820127
0,0.154902458,20250620173703242,None,"translation: 
  x: -0.10313789062499999
  y: -0.02824013671875
  z: 0.1053703125
rotation: 
  x: 0.11439577873877857
  y: 0.3939756435325916
  z: 0.08924579963505562
  w: 0.907596818723671","translation: 
  x: -0.12233671875
  y: -0.03069580078125
  z: 0.11932294921875
rotation: 
  x: 0.3025139734311622
  y: 0.3371846628800928
  z: -0.012207989242581195
  w: 0.8914273744932794","translation: 
  x: -0.15303251953125
  y: -0.0350490234375
  z: 0.1339453125
rotation: 
  x: 0.008179998456591694
  y: 0.18887250167682618
  z: 0.10023550347554899
  w: 0.976838323152092",-36,3,4,4,9,-5,-1,-2,1750455423242019176
0,0.155078411,20250620173703242,None,"translation: 
  x: -0.10313789062499999
  y: -0.02824013671875
  z: 0.1053703125
rotation: 
  x: 0.11439577873877857
  y: 0.3939756435325916
  z: 0.08924579963505562
  w: 0.907596818723671","translation: 
  x: -0.12233671875
  y: -0.03069580078125
  z: 0.11932294921875
rotation: 
  x: 0.3025139734311622
  y: 0.3371846628800928
  z: -0.012207989242581195
  w: 0.8914273744932794","translation: 
  x: -0.15303251953125
  y: -0.0350490234375
  z: 0.1339453125
rotation: 
  x: 0.008179998456591694
  y: 0.18887250167682618
  z: 0.10023550347554899
  w: 0.976838323152092",-35,-11,-10,-26,-20,8,29,43,1750455423242202997
0,0.162354946,20250620173703250,None,"translation: 
  x: -0.10302626953124999
  y: -0.0283517578125
  z: 0.1055935546875
rotation: 
  x: 0.11464268994351846
  y: 0.39300832686707765
  z: 0.08924793008382534
  w: 0.9079847551756622","translation: 
  x: -0.12233671875
  y: -0.03069580078125
  z: 0.1194345703125
rotation: 
  x: 0.30277795706364524
  y: 0.33647421357556695
  z: -0.012086700705363256
  w: 0.8916078308208873","translation: 
  x: -0.15303251953125
  y: -0.0350490234375
  z: 0.1339453125
rotation: 
  x: 0.008057698142597472
  y: 0.18837921566708932
  z: 0.10023288144049276
  w: 0.9769348566221963",8,2,4,-3,4,0,3,6,1750455423249439954
0,0.162540912,20250620173703250,None,"translation: 
  x: -0.10302626953124999
  y: -0.0283517578125
  z: 0.1055935546875
rotation: 
  x: 0.11464268994351846
  y: 0.39300832686707765
  z: 0.08924793008382534
  w: 0.9079847551756622","translation: 
  x: -0.12233671875
  y: -0.03069580078125
  z: 0.1194345703125
rotation: 
  x: 0.30277795706364524
  y: 0.33647421357556695
  z: -0.012086700705363256
  w: 0.8916078308208873","translation: 
  x: -0.15303251953125
  y: -0.0350490234375
  z: 0.1339453125
rotation: 
  x: 0.008057698142597472
  y: 0.18837921566708932
  z: 0.10023288144049276
  w: 0.9769348566221963",-9,0,-10,0,0,0,-11,-3,1750455423249651908
