gt,time_elapsed,current_time,current_task,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp,trakstar0,trakstar1,trakstar2,trakstar3
0,0.111040116,20250509170927549,None,5,-9,3,-11,-4,-6,-12,0,1746824967548977136,"translation: 
  x: -0.31041826171875
  y: 0.01261318359375
  z: 0.09923115234375
rotation: 
  x: -0.26000792528201
  y: -0.44250175077337384
  z: 0.6967724119763911
  w: 0.501095086048193","translation: 
  x: -0.30550693359375
  y: -0.01506884765625
  z: 0.09387333984375
rotation: 
  x: 0.27273777584643893
  y: 0.2270780049571962
  z: 0.6051750917058181
  w: 0.7126098467393304","translation: 
  x: -0.30729287109375
  y: -0.051345703125
  z: 0.08985498046875
rotation: 
  x: -0.0638441381662348
  y: -0.38172202685624523
  z: 0.5702026183068505
  w: 0.724624864540669","translation: 
  x: -0.30807421875
  y: -0.10637490234375
  z: 0.07087939453125
rotation: 
  x: 0.03295734437833377
  y: -0.1756504391126751
  z: 0.5833449954965075
  w: 0.7923189717028312"
0,0.111379862,20250509170927550,None,-5,-3,-4,-1,4,5,0,-2,1746824967549175977,"translation: 
  x: -0.31041826171875
  y: 0.01261318359375
  z: 0.09923115234375
rotation: 
  x: -0.26000792528201
  y: -0.44250175077337384
  z: 0.6967724119763911
  w: 0.501095086048193","translation: 
  x: -0.30550693359375
  y: -0.01506884765625
  z: 0.09387333984375
rotation: 
  x: 0.27273777584643893
  y: 0.2270780049571962
  z: 0.6051750917058181
  w: 0.7126098467393304","translation: 
  x: -0.30729287109375
  y: -0.051345703125
  z: 0.08985498046875
rotation: 
  x: -0.0638441381662348
  y: -0.38172202685624523
  z: 0.5702026183068505
  w: 0.724624864540669","translation: 
  x: -0.30807421875
  y: -0.10637490234375
  z: 0.07087939453125
rotation: 
  x: 0.03295734437833377
  y: -0.1756504391126751
  z: 0.5833449954965075
  w: 0.7923189717028312"
0,0.117856503,20250509170927556,None,-4,2,-3,1,-8,1,2,0,1746824967556344509,"translation: 
  x: -0.31041826171875
  y: 0.01261318359375
  z: 0.09923115234375
rotation: 
  x: -0.2600058040930425
  y: -0.44213193541079804
  z: 0.6970108644935551
  w: 0.5010909980290796","translation: 
  x: -0.3053953125
  y: -0.01506884765625
  z: 0.09387333984375
rotation: 
  x: 0.2723577335294474
  y: 0.22840937670712508
  z: 0.6041678275379808
  w: 0.7131841682111303","translation: 
  x: -0.30718125
  y: -0.051345703125
  z: 0.08985498046875
rotation: 
  x: -0.06396809519407433
  y: -0.3807566582257973
  z: 0.5703414899746473
  w: 0.7250124377053574","translation: 
  x: -0.30807421875
  y: -0.10637490234375
  z: 0.070991015625
rotation: 
  x: 0.03393652161337179
  y: -0.17517592991075
  z: 0.5835128536399896
  w: 0.792259083707852"
0,0.117974282,20250509170927556,None,-9,-4,-4,-4,-1,-3,2,0,1746824967556597948,"translation: 
  x: -0.31041826171875
  y: 0.01261318359375
  z: 0.09923115234375
rotation: 
  x: -0.2600058040930425
  y: -0.44213193541079804
  z: 0.6970108644935551
  w: 0.5010909980290796","translation: 
  x: -0.3053953125
  y: -0.01506884765625
  z: 0.09387333984375
rotation: 
  x: 0.2723577335294474
  y: 0.22840937670712508
  z: 0.6041678275379808
  w: 0.7131841682111303","translation: 
  x: -0.30718125
  y: -0.051345703125
  z: 0.08985498046875
rotation: 
  x: -0.06396809519407433
  y: -0.3807566582257973
  z: 0.5703414899746473
  w: 0.7250124377053574","translation: 
  x: -0.30807421875
  y: -0.10637490234375
  z: 0.070991015625
rotation: 
  x: 0.03393652161337179
  y: -0.17517592991075
  z: 0.5835128536399896
  w: 0.792259083707852"
0,0.133678436,20250509170927572,None,-1,-1,-5,-13,5,-7,2,3,1746824967571505546,"translation: 
  x: -0.310306640625
  y: 0.01261318359375
  z: 0.09923115234375
rotation: 
  x: -0.26002576275743006
  y: -0.44179964104184954
  z: 0.6971864465294288
  w: 0.5011294629667843","translation: 
  x: -0.30528369140625
  y: -0.01506884765625
  z: 0.09387333984375
rotation: 
  x: 0.272250336888153
  y: 0.2297646340912573
  z: 0.6032237285041989
  w: 0.7135888874938358","translation: 
  x: -0.30706962890625
  y: -0.051345703125
  z: 0.0899666015625
rotation: 
  x: -0.06408752429668599
  y: -0.3797643582609336
  z: 0.5705620734527815
  w: 0.7253487035636347","translation: 
  x: -0.30807421875
  y: -0.10637490234375
  z: 0.07110263671875
rotation: 
  x: 0.03466784554322854
  y: -0.17480406626022277
  z: 0.5836160899372382
  w: 0.7922335125899762"
0,0.133917332,20250509170927572,None,0,-10,2,-4,-2,-1,-5,1,1746824967571748495,"translation: 
  x: -0.310306640625
  y: 0.01261318359375
  z: 0.09923115234375
rotation: 
  x: -0.26002576275743006
  y: -0.44179964104184954
  z: 0.6971864465294288
  w: 0.5011294629667843","translation: 
  x: -0.30528369140625
  y: -0.01506884765625
  z: 0.09387333984375
rotation: 
  x: 0.272250336888153
  y: 0.2297646340912573
  z: 0.6032237285041989
  w: 0.7135888874938358","translation: 
  x: -0.30706962890625
  y: -0.051345703125
  z: 0.0899666015625
rotation: 
  x: -0.06408752429668599
  y: -0.3797643582609336
  z: 0.5705620734527815
  w: 0.7253487035636347","translation: 
  x: -0.30807421875
  y: -0.10637490234375
  z: 0.07110263671875
rotation: 
  x: 0.03466784554322854
  y: -0.17480406626022277
  z: 0.5836160899372382
  w: 0.7922335125899762"
0,0.141116858,20250509170927579,None,4,2,2,4,0,0,-3,-2,1746824967579163551,"translation: 
  x: -0.31019501953125
  y: 0.01261318359375
  z: 0.09923115234375
rotation: 
  x: -0.2601432445400478
  y: -0.4411814574226808
  z: 0.6975403563124509
  w: 0.5011206094964318","translation: 
  x: -0.3051720703125
  y: -0.01506884765625
  z: 0.09387333984375
rotation: 
  x: 0.27200811222246907
  y: 0.23086505395542595
  z: 0.6026176130745544
  w: 0.7138381652445137","translation: 
  x: -0.30706962890625
  y: -0.051345703125
  z: 0.09007822265625
rotation: 
  x: -0.06408947830933079
  y: -0.37867726041056027
  z: 0.5709456953385528
  w: 0.7256149696584044","translation: 
  x: -0.30796259765625
  y: -0.1064865234375
  z: 0.07110263671875
rotation: 
  x: 0.035155269096448644
  y: -0.17443360950980946
  z: 0.5837239472889495
  w: 0.7922142237359434"
0,0.141300678,20250509170927580,None,1,-6,-4,-4,-11,-1,8,1,1746824967579446077,"translation: 
  x: -0.31019501953125
  y: 0.01261318359375
  z: 0.09923115234375
rotation: 
  x: -0.2601432445400478
  y: -0.4411814574226808
  z: 0.6975403563124509
  w: 0.5011206094964318","translation: 
  x: -0.3051720703125
  y: -0.01506884765625
  z: 0.09387333984375
rotation: 
  x: 0.27200811222246907
  y: 0.23086505395542595
  z: 0.6026176130745544
  w: 0.7138381652445137","translation: 
  x: -0.30706962890625
  y: -0.051345703125
  z: 0.09007822265625
rotation: 
  x: -0.06408947830933079
  y: -0.37867726041056027
  z: 0.5709456953385528
  w: 0.7256149696584044","translation: 
  x: -0.30796259765625
  y: -0.1064865234375
  z: 0.07110263671875
rotation: 
  x: 0.035155269096448644
  y: -0.17443360950980946
  z: 0.5837239472889495
  w: 0.7922142237359434"
0,0.148435116,20250509170927587,None,-4,2,-5,5,11,1,-4,10,1746824967586613655,"translation: 
  x: -0.31019501953125
  y: 0.01261318359375
  z: 0.09923115234375
rotation: 
  x: -0.2601432445400478
  y: -0.4411814574226808
  z: 0.6975403563124509
  w: 0.5011206094964318","translation: 
  x: -0.3051720703125
  y: -0.01506884765625
  z: 0.09387333984375
rotation: 
  x: 0.27200811222246907
  y: 0.23086505395542595
  z: 0.6026176130745544
  w: 0.7138381652445137","translation: 
  x: -0.30706962890625
  y: -0.051345703125
  z: 0.09007822265625
rotation: 
  x: -0.06408947830933079
  y: -0.37867726041056027
  z: 0.5709456953385528
  w: 0.7256149696584044","translation: 
  x: -0.30796259765625
  y: -0.1064865234375
  z: 0.07110263671875
rotation: 
  x: 0.035155269096448644
  y: -0.17443360950980946
  z: 0.5837239472889495
  w: 0.7922142237359434"
0,0.149010658,20250509170927587,None,-1,2,-1,1,5,-2,0,0,1746824967586806297,"translation: 
  x: -0.31019501953125
  y: 0.01261318359375
  z: 0.09923115234375
rotation: 
  x: -0.2601432445400478
  y: -0.4411814574226808
  z: 0.6975403563124509
  w: 0.5011206094964318","translation: 
  x: -0.3051720703125
  y: -0.01506884765625
  z: 0.09387333984375
rotation: 
  x: 0.27200811222246907
  y: 0.23086505395542595
  z: 0.6026176130745544
  w: 0.7138381652445137","translation: 
  x: -0.30706962890625
  y: -0.051345703125
  z: 0.09007822265625
rotation: 
  x: -0.06408947830933079
  y: -0.37867726041056027
  z: 0.5709456953385528
  w: 0.7256149696584044","translation: 
  x: -0.30796259765625
  y: -0.1064865234375
  z: 0.07110263671875
rotation: 
  x: 0.035155269096448644
  y: -0.17443360950980946
  z: 0.5837239472889495
  w: 0.7922142237359434"
0,0.163415909,20250509170927602,None,4,-2,-5,-3,-11,-2,1,-6,1746824967601541042,"translation: 
  x: -0.3100833984375
  y: 0.01261318359375
  z: 0.09911953125
rotation: 
  x: -0.2604978430847613
  y: -0.43994106207941874
  z: 0.6981195710411199
  w: 0.5012203110150094","translation: 
  x: -0.30506044921875
  y: -0.01506884765625
  z: 0.09387333984375
rotation: 
  x: 0.27188388023662824
  y: 0.23245034035497988
  z: 0.6016361750364185
  w: 0.714198787330164","translation: 
  x: -0.3069580078125
  y: -0.051345703125
  z: 0.09018984375
rotation: 
  x: -0.0639684746091806
  y: -0.3772186766075726
  z: 0.5714435680259052
  w: 0.7259933559175517","translation: 
  x: -0.30796259765625
  y: -0.1064865234375
  z: 0.07110263671875
rotation: 
  x: 0.03588646957442173
  y: -0.17406158371811356
  z: 0.5838264761036026
  w: 0.7921877127142757"
0,0.16369915,20250509170927602,None,-4,5,2,-7,-5,6,5,7,1746824967601764440,"translation: 
  x: -0.3100833984375
  y: 0.01261318359375
  z: 0.09911953125
rotation: 
  x: -0.2604978430847613
  y: -0.43994106207941874
  z: 0.6981195710411199
  w: 0.5012203110150094","translation: 
  x: -0.30506044921875
  y: -0.01506884765625
  z: 0.09387333984375
rotation: 
  x: 0.27188388023662824
  y: 0.23245034035497988
  z: 0.6016361750364185
  w: 0.714198787330164","translation: 
  x: -0.3069580078125
  y: -0.051345703125
  z: 0.09018984375
rotation: 
  x: -0.0639684746091806
  y: -0.3772186766075726
  z: 0.5714435680259052
  w: 0.7259933559175517","translation: 
  x: -0.30796259765625
  y: -0.1064865234375
  z: 0.07110263671875
rotation: 
  x: 0.03588646957442173
  y: -0.17406158371811356
  z: 0.5838264761036026
  w: 0.7921877127142757"
0,0.170817137,20250509170927609,None,-2,9,2,0,-7,-1,-9,5,1746824967608915567,"translation: 
  x: -0.3100833984375
  y: 0.01261318359375
  z: 0.09911953125
rotation: 
  x: -0.2604978430847613
  y: -0.43994106207941874
  z: 0.6981195710411199
  w: 0.5012203110150094","translation: 
  x: -0.30506044921875
  y: -0.01506884765625
  z: 0.09387333984375
rotation: 
  x: 0.27188388023662824
  y: 0.23245034035497988
  z: 0.6016361750364185
  w: 0.714198787330164","translation: 
  x: -0.3069580078125
  y: -0.051345703125
  z: 0.09018984375
rotation: 
  x: -0.0639684746091806
  y: -0.3772186766075726
  z: 0.5714435680259052
  w: 0.7259933559175517","translation: 
  x: -0.30796259765625
  y: -0.1064865234375
  z: 0.07110263671875
rotation: 
  x: 0.03588646957442173
  y: -0.17406158371811356
  z: 0.5838264761036026
  w: 0.7921877127142757"
