gt,time_elapsed,current_time,current_task,trakstar0,trakstar1,trakstar2,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp
0,0.132204533,20250615161521031,None,"translation: 
  x: -0.24913828125
  y: -0.0761255859375
  z: -0.07757666015625
rotation: 
  x: 0.07130075587580338
  y: 0.23770988303114587
  z: -0.018313550310565935
  w: 0.9685426307581305","translation: 
  x: -0.23406943359375
  y: -0.0774650390625
  z: -0.0832693359375
rotation: 
  x: 0.06214182018880261
  y: 0.1019418857714149
  z: -0.05896758182945317
  w: 0.9910948846614925","translation: 
  x: -0.20169931640625
  y: -0.0774650390625
  z: -0.0839390625
rotation: 
  x: -0.085339470413729
  y: 0.041265723891044916
  z: -0.14162201098701807
  w: 0.98537176782433",-6,-9,-8,-5,0,4,6,9,1750018521031014680
0,0.139213562,20250615161521038,None,"translation: 
  x: -0.24913828125
  y: -0.0761255859375
  z: -0.07757666015625
rotation: 
  x: 0.07130075587580338
  y: 0.23770988303114587
  z: -0.018313550310565935
  w: 0.9685426307581305","translation: 
  x: -0.23406943359375
  y: -0.0774650390625
  z: -0.0832693359375
rotation: 
  x: 0.06214182018880261
  y: 0.1019418857714149
  z: -0.05896758182945317
  w: 0.9910948846614925","translation: 
  x: -0.20169931640625
  y: -0.0774650390625
  z: -0.0839390625
rotation: 
  x: -0.085339470413729
  y: 0.041265723891044916
  z: -0.14162201098701807
  w: 0.98537176782433",0,-7,-4,-6,0,-4,4,-5,1750018521038129568
0,0.139547348,20250615161521039,None,"translation: 
  x: -0.24913828125
  y: -0.0761255859375
  z: -0.07757666015625
rotation: 
  x: 0.07130075587580338
  y: 0.23770988303114587
  z: -0.018313550310565935
  w: 0.9685426307581305","translation: 
  x: -0.23406943359375
  y: -0.0774650390625
  z: -0.0832693359375
rotation: 
  x: 0.06214182018880261
  y: 0.1019418857714149
  z: -0.05896758182945317
  w: 0.9910948846614925","translation: 
  x: -0.20169931640625
  y: -0.0774650390625
  z: -0.0839390625
rotation: 
  x: -0.085339470413729
  y: 0.041265723891044916
  z: -0.14162201098701807
  w: 0.98537176782433",2,0,-2,11,7,-3,-9,4,1750018521038308858
0,0.154088736,20250615161521053,None,"translation: 
  x: -0.24913828125
  y: -0.07601396484375
  z: -0.07779990234375
rotation: 
  x: 0.07190511825801123
  y: 0.23634687427421003
  z: -0.01855615955045451
  w: 0.968826856528993","translation: 
  x: -0.23406943359375
  y: -0.07735341796875
  z: -0.083492578125
rotation: 
  x: 0.06275083694936132
  y: 0.10023042244246233
  z: -0.05957667009978272
  w: 0.9911946404510983","translation: 
  x: -0.20169931640625
  y: -0.0774650390625
  z: -0.08405068359375
rotation: 
  x: -0.08594317732288352
  y: 0.04016378599322255
  z: -0.14295377932542133
  w: 0.9851725014143039",-4,1,-14,-2,-5,2,-1,-1,1750018521053136110
0,0.154738426,20250615161521054,None,"translation: 
  x: -0.24913828125
  y: -0.07601396484375
  z: -0.0779115234375
rotation: 
  x: 0.07251553769649535
  y: 0.23512613737954552
  z: -0.018922404617772358
  w: 0.9690712764895287","translation: 
  x: -0.23406943359375
  y: -0.07735341796875
  z: -0.08360419921875
rotation: 
  x: 0.06299772661396755
  y: 0.09950222323717745
  z: -0.05982342255977539
  w: 0.9912374852302375","translation: 
  x: -0.2018109375
  y: -0.0774650390625
  z: -0.0841623046875
rotation: 
  x: -0.08631787420708978
  y: 0.03943518156844413
  z: -0.1439445172420917
  w: 0.985024906793211",-1,-3,0,2,4,11,-2,-1,1750018521053390741
0,0.16161871,20250615161521061,None,"translation: 
  x: -0.24913828125
  y: -0.07601396484375
  z: -0.0779115234375
rotation: 
  x: 0.07251553769649535
  y: 0.23512613737954552
  z: -0.018922404617772358
  w: 0.9690712764895287","translation: 
  x: -0.23406943359375
  y: -0.07735341796875
  z: -0.08360419921875
rotation: 
  x: 0.06299772661396755
  y: 0.09950222323717745
  z: -0.05982342255977539
  w: 0.9912374852302375","translation: 
  x: -0.2018109375
  y: -0.0774650390625
  z: -0.0841623046875
rotation: 
  x: -0.08631787420708978
  y: 0.03943518156844413
  z: -0.1439445172420917
  w: 0.985024906793211",2,0,-4,4,-10,-7,-7,-4,1750018521060842514
0,0.161846161,20250615161521061,None,"translation: 
  x: -0.24913828125
  y: -0.07601396484375
  z: -0.0779115234375
rotation: 
  x: 0.07251553769649535
  y: 0.23512613737954552
  z: -0.018922404617772358
  w: 0.9690712764895287","translation: 
  x: -0.23406943359375
  y: -0.07735341796875
  z: -0.08360419921875
rotation: 
  x: 0.06299772661396755
  y: 0.09950222323717745
  z: -0.05982342255977539
  w: 0.9912374852302375","translation: 
  x: -0.2018109375
  y: -0.0774650390625
  z: -0.0841623046875
rotation: 
  x: -0.08631787420708978
  y: 0.03943518156844413
  z: -0.1439445172420917
  w: 0.985024906793211",2,-5,4,-7,-8,3,-3,16,1750018521061048984
0,0.169329167,20250615161521069,None,"translation: 
  x: -0.24924990234375
  y: -0.07590234375
  z: -0.078134765625
rotation: 
  x: 0.07313237198981903
  y: 0.23404800852167462
  z: -0.01929034186041971
  w: 0.9692786331004564","translation: 
  x: -0.23406943359375
  y: -0.077241796875
  z: -0.0837158203125
rotation: 
  x: 0.0634807148234744
  y: 0.09851718627412277
  z: -0.06030667908230069
  w: 0.9912757776281003","translation: 
  x: -0.2018109375
  y: -0.0774650390625
  z: -0.0841623046875
rotation: 
  x: -0.08655273528663122
  y: 0.038942627018949724
  z: -0.1446614828133399
  w: 0.9849188551375748",4,-5,-9,-6,-8,-4,-3,8,1750018521068458795
0,0.169552565,20250615161521069,None,"translation: 
  x: -0.24924990234375
  y: -0.07590234375
  z: -0.078134765625
rotation: 
  x: 0.07313237198981903
  y: 0.23404800852167462
  z: -0.01929034186041971
  w: 0.9692786331004564","translation: 
  x: -0.23406943359375
  y: -0.077241796875
  z: -0.0837158203125
rotation: 
  x: 0.0634807148234744
  y: 0.09851718627412277
  z: -0.06030667908230069
  w: 0.9912757776281003","translation: 
  x: -0.2018109375
  y: -0.0774650390625
  z: -0.0841623046875
rotation: 
  x: -0.08655273528663122
  y: 0.038942627018949724
  z: -0.1446614828133399
  w: 0.9849188551375748",-2,0,1,6,4,-2,-10,-6,1750018521068719625
0,0.184761047,20250615161521084,None,"translation: 
  x: -0.24924990234375
  y: -0.07590234375
  z: -0.07824638671875
rotation: 
  x: 0.07361274893268277
  y: 0.2332901545777061
  z: -0.019654481887499048
  w: 0.9694176439045339","translation: 
  x: -0.2341810546875
  y: -0.077241796875
  z: -0.08382744140625
rotation: 
  x: 0.06384787413665975
  y: 0.09790821234722967
  z: -0.0606737924396174
  w: 0.9912901299993827","translation: 
  x: -0.2018109375
  y: -0.0774650390625
  z: -0.08427392578125
rotation: 
  x: -0.086798315182616
  y: 0.0383328705588487
  z: -0.1453963338713019
  w: 0.9848129515867279",0,1,-5,7,8,1,-3,-4,1750018521083433389
