gt,time_elapsed,current_time,current_task,trakstar0,trakstar1,trakstar2,trakstar3,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp
0,0.125656843,20250509170419398,None,"translation: 
  x: -0.2685603515625
  y: 0.039290625
  z: 0.00680888671875
rotation: 
  x: -0.25237506222709055
  y: 0.16580809603502128
  z: 0.7395431794433902
  w: 0.6015732615350146","translation: 
  x: -0.26956494140625
  y: 0.0125015625
  z: 0.026007714843749998
rotation: 
  x: 0.30497858246754234
  y: 0.505815158992405
  z: 0.38128427263656317
  w: 0.711169032375274","translation: 
  x: -0.27693193359375
  y: -0.025784472656249998
  z: 0.0346025390625
rotation: 
  x: 0.10912469181031616
  y: -0.14806292076724104
  z: 0.6453492680102253
  w: 0.7414131745591277","translation: 
  x: -0.27938759765625
  y: -0.079920703125
  z: 0.019198828125
rotation: 
  x: 0.06946729832828792
  y: 0.007935631619224458
  z: 0.6162933602130009
  w: 0.7844066639002636",-2,1,0,6,-4,-1,0,-4,1746824659398085832
0,0.12587738,20250509170419398,None,"translation: 
  x: -0.2685603515625
  y: 0.039290625
  z: 0.00680888671875
rotation: 
  x: -0.25237506222709055
  y: 0.16580809603502128
  z: 0.7395431794433902
  w: 0.6015732615350146","translation: 
  x: -0.26956494140625
  y: 0.0125015625
  z: 0.026007714843749998
rotation: 
  x: 0.30497858246754234
  y: 0.505815158992405
  z: 0.38128427263656317
  w: 0.711169032375274","translation: 
  x: -0.27693193359375
  y: -0.025784472656249998
  z: 0.0346025390625
rotation: 
  x: 0.10912469181031616
  y: -0.14806292076724104
  z: 0.6453492680102253
  w: 0.7414131745591277","translation: 
  x: -0.27938759765625
  y: -0.079920703125
  z: 0.019198828125
rotation: 
  x: 0.06946729832828792
  y: 0.007935631619224458
  z: 0.6162933602130009
  w: 0.7844066639002636",-4,6,-3,1,4,2,3,-2,1746824659398298263
0,0.133531093,20250509170419406,None,"translation: 
  x: -0.26867197265625
  y: 0.03940224609375
  z: 0.00680888671875
rotation: 
  x: -0.25309061695374113
  y: 0.1651864952910814
  z: 0.7393713344292602
  w: 0.60165487715776","translation: 
  x: -0.26978818359375
  y: 0.0125015625
  z: 0.026007714843749998
rotation: 
  x: 0.3044857601121963
  y: 0.5050752163529095
  z: 0.3817670296194218
  w: 0.7116469509599007","translation: 
  x: -0.27704355468749997
  y: -0.0256728515625
  z: 0.0346025390625
rotation: 
  x: 0.10901127603899564
  y: -0.1483188134237175
  z: 0.6455225394112083
  w: 0.7412278478261832","translation: 
  x: -0.27938759765625
  y: -0.079920703125
  z: 0.01908720703125
rotation: 
  x: 0.06922057359458707
  y: 0.00781325698422147
  z: 0.6165148089112252
  w: 0.7842556697912297",-1,0,0,-5,-3,1,-3,0,1746824659405764579
0,0.133795976,20250509170419406,None,"translation: 
  x: -0.26867197265625
  y: 0.03940224609375
  z: 0.00680888671875
rotation: 
  x: -0.25309061695374113
  y: 0.1651864952910814
  z: 0.7393713344292602
  w: 0.60165487715776","translation: 
  x: -0.26978818359375
  y: 0.0125015625
  z: 0.026007714843749998
rotation: 
  x: 0.3044857601121963
  y: 0.5050752163529095
  z: 0.3817670296194218
  w: 0.7116469509599007","translation: 
  x: -0.27704355468749997
  y: -0.0256728515625
  z: 0.0346025390625
rotation: 
  x: 0.10901127603899564
  y: -0.1483188134237175
  z: 0.6455225394112083
  w: 0.7412278478261832","translation: 
  x: -0.27938759765625
  y: -0.079920703125
  z: 0.01908720703125
rotation: 
  x: 0.06922057359458707
  y: 0.00781325698422147
  z: 0.6165148089112252
  w: 0.7842556697912297",1,-3,-5,-4,-3,1,0,0,1746824659405992746
0,0.148477792,20250509170419421,None,"translation: 
  x: -0.26878359375
  y: 0.03940224609375
  z: 0.00680888671875
rotation: 
  x: -0.2541875032168828
  y: 0.1640864574080165
  z: 0.7392436753017412
  w: 0.6016503438293941","translation: 
  x: -0.27001142578125
  y: 0.0125015625
  z: 0.025896093749999998
rotation: 
  x: 0.3036208330707411
  y: 0.5039593079678405
  z: 0.38260864127209604
  w: 0.7123552718004723","translation: 
  x: -0.27749003906249997
  y: -0.02556123046875
  z: 0.03449091796875
rotation: 
  x: 0.10681064408066968
  y: -0.15087766409566597
  z: 0.6467231912450149
  w: 0.7399841421908796","translation: 
  x: -0.27949921875
  y: -0.079920703125
  z: 0.01908720703125
rotation: 
  x: 0.06849063991527626
  y: 0.007691462236474875
  z: 0.6170261927483177
  w: 0.7839187146096058",-1,-11,-4,1,-6,-8,-5,3,1746824659420784950
0,0.148662328,20250509170419421,None,"translation: 
  x: -0.26878359375
  y: 0.03940224609375
  z: 0.00680888671875
rotation: 
  x: -0.2541875032168828
  y: 0.1640864574080165
  z: 0.7392436753017412
  w: 0.6016503438293941","translation: 
  x: -0.27001142578125
  y: 0.0125015625
  z: 0.025896093749999998
rotation: 
  x: 0.3036208330707411
  y: 0.5039593079678405
  z: 0.38260864127209604
  w: 0.7123552718004723","translation: 
  x: -0.27749003906249997
  y: -0.02556123046875
  z: 0.03449091796875
rotation: 
  x: 0.10681064408066968
  y: -0.15087766409566597
  z: 0.6467231912450149
  w: 0.7399841421908796","translation: 
  x: -0.27949921875
  y: -0.079920703125
  z: 0.01908720703125
rotation: 
  x: 0.06849063991527626
  y: 0.007691462236474875
  z: 0.6170261927483177
  w: 0.7839187146096058",-3,-1,2,-4,1,4,-4,-2,1746824659420990228
0,0.156081199,20250509170419429,None,"translation: 
  x: -0.26911845703125
  y: 0.0395138671875
  z: 0.00680888671875
rotation: 
  x: -0.2557726341529441
  y: 0.162864293059679
  z: 0.7388715904026815
  w: 0.6017676915226068","translation: 
  x: -0.2703462890625
  y: 0.01261318359375
  z: 0.025784472656249998
rotation: 
  x: 0.30227825163650685
  y: 0.5023727808902365
  z: 0.38370781296185014
  w: 0.7134548071743725","translation: 
  x: -0.27793652343749997
  y: -0.02556123046875
  z: 0.034379296875
rotation: 
  x: 0.10534396562918573
  y: -0.1524618923184855
  z: 0.6474442568913108
  w: 0.7392387669181331","translation: 
  x: -0.27961083984375
  y: -0.07980908203125
  z: 0.01908720703125
rotation: 
  x: 0.06787568679336586
  y: 0.007446792975531149
  z: 0.6174734241022385
  w: 0.7836223624579416",-6,6,-2,-8,-17,-1,-9,-9,1746824659428290843
0,0.156322956,20250509170419429,None,"translation: 
  x: -0.26911845703125
  y: 0.0395138671875
  z: 0.00680888671875
rotation: 
  x: -0.2557726341529441
  y: 0.162864293059679
  z: 0.7388715904026815
  w: 0.6017676915226068","translation: 
  x: -0.2703462890625
  y: 0.01261318359375
  z: 0.025784472656249998
rotation: 
  x: 0.30227825163650685
  y: 0.5023727808902365
  z: 0.38370781296185014
  w: 0.7134548071743725","translation: 
  x: -0.27793652343749997
  y: -0.02556123046875
  z: 0.034379296875
rotation: 
  x: 0.10534396562918573
  y: -0.1524618923184855
  z: 0.6474442568913108
  w: 0.7392387669181331","translation: 
  x: -0.27961083984375
  y: -0.07980908203125
  z: 0.01908720703125
rotation: 
  x: 0.06787568679336586
  y: 0.007446792975531149
  z: 0.6174734241022385
  w: 0.7836223624579416",2,-4,-6,-10,-3,-4,4,7,1746824659428559780
0,0.163580179,20250509170419436,None,"translation: 
  x: -0.26911845703125
  y: 0.0395138671875
  z: 0.00680888671875
rotation: 
  x: -0.2557726341529441
  y: 0.162864293059679
  z: 0.7388715904026815
  w: 0.6017676915226068","translation: 
  x: -0.2703462890625
  y: 0.01261318359375
  z: 0.025784472656249998
rotation: 
  x: 0.30227825163650685
  y: 0.5023727808902365
  z: 0.38370781296185014
  w: 0.7134548071743725","translation: 
  x: -0.27793652343749997
  y: -0.02556123046875
  z: 0.034379296875
rotation: 
  x: 0.10534396562918573
  y: -0.1524618923184855
  z: 0.6474442568913108
  w: 0.7392387669181331","translation: 
  x: -0.27961083984375
  y: -0.07980908203125
  z: 0.01908720703125
rotation: 
  x: 0.06787568679336586
  y: 0.007446792975531149
  z: 0.6174734241022385
  w: 0.7836223624579416",4,0,-2,8,-1,4,-1,-4,1746824659435755014
0,0.163765192,20250509170419436,None,"translation: 
  x: -0.26911845703125
  y: 0.0395138671875
  z: 0.00680888671875
rotation: 
  x: -0.2557726341529441
  y: 0.162864293059679
  z: 0.7388715904026815
  w: 0.6017676915226068","translation: 
  x: -0.2703462890625
  y: 0.01261318359375
  z: 0.025784472656249998
rotation: 
  x: 0.30227825163650685
  y: 0.5023727808902365
  z: 0.38370781296185014
  w: 0.7134548071743725","translation: 
  x: -0.27793652343749997
  y: -0.02556123046875
  z: 0.034379296875
rotation: 
  x: 0.10534396562918573
  y: -0.1524618923184855
  z: 0.6474442568913108
  w: 0.7392387669181331","translation: 
  x: -0.27961083984375
  y: -0.07980908203125
  z: 0.01908720703125
rotation: 
  x: 0.06787568679336586
  y: 0.007446792975531149
  z: 0.6174734241022385
  w: 0.7836223624579416",2,-1,-3,6,5,6,-4,-1,1746824659435969591
